nome;partido;uf;name_simplified
Ricardo Barros;PP;PR;ricardo barros
Ricardo Izar;PP;SP;ricardo izar
Ronaldo Carletto;PP;BA;ronaldo carletto
Schiavinato;PP;PR;schiavinato
Átila Lins;PP;AM;atila lins
Átila Lira;PP;PI;atila lira
Aelton Freitas;PR;MG;aelton freitas
Jorielson;PR;AP;jorielson
Laerte Bessa;PR;DF;laerte bessa
Ely Santos;PRB;SP;ely santos
Henrique do Paraíso;PRB;SP;henrique do paraiso
Marcelo Squassoni;PRB;SP;marcelo squassoni
Tia Eron;PRB;BA;tia eron
Acácio Favacho;PROS;AP;acacio favacho
Boca Aberta;PROS;PR;boca aberta
Capitão Wagner;PROS;CE;capitao wagner
Carla Dickson;PROS;RN;carla dickson
Clarissa Garotinho;PROS;RJ;clarissa garotinho
Eros Biondini;PROS;MG;eros biondini
Gastão Vieira;PROS;MA;gastao vieira
Toninho Wandscheer;PROS;PR;toninho wandscheer
Uldurico Junior;PROS;BA;uldurico junior
Vaidon Oliveira;PROS;CE;vaidon oliveira
Weliton Prado;PROS;MG;weliton prado
Alessandro Molon;PSB;RJ;alessandro molon
Aliel Machado;PSB;PR;aliel machado
Bira do Pindaré;PSB;MA;bira do pindare
Camilo Capiberibe;PSB;AP;camilo capiberibe
Cássio Andrade;PSB;PA;cassio andrade
Danilo Cabral;PSB;PE;danilo cabral
Denis Bezerra;PSB;CE;denis bezerra
Elias Vaz;PSB;GO;elias vaz
Emidinho Madeira;PSB;MG;emidinho madeira
Felipe Carreras;PSB;PE;felipe carreras
Felipe Rigoni;PSB;ES;felipe rigoni
Gervásio Maia;PSB;PB;gervasio maia
Gonzaga Patriota;PSB;PE;gonzaga patriota
Heitor Schuch;PSB;RS;heitor schuch
Jefferson Campos;PSB;SP;jefferson campos
Jhc;PSB;AL;jhc
João H. Campos;PSB;PE;joao h campos
Júlio Delgado;PSB;MG;julio delgado
Liziane Bayer;PSB;RS;liziane bayer
Luciano Ducci;PSB;PR;luciano ducci
Lídice da Mata;PSB;BA;lidice da mata
Marcelo Freixo;PSB;RJ;marcelo freixo
Marcelo Nilo;PSB;BA;marcelo nilo
Mauro Nazif;PSB;RO;mauro nazif
Milton Coelho;PSB;PE;milton coelho
Odorico Monteiro;PSB;CE;odorico monteiro
Rafael Motta;PSB;RN;rafael motta
Ricardo Silva;PSB;SP;ricardo silva
Rodrigo Agostinho;PSB;SP;rodrigo agostinho
Rodrigo Coelho;PSB;SC;rodrigo coelho
Rosana Valle;PSB;SP;rosana valle
Tabata Amaral;PSB;SP;tabata amaral
Tadeu Alencar;PSB;PE;tadeu alencar
Ted Conti;PSB;ES;ted conti
Vilson da Fetaemg;PSB;MG;vilson da fetaemg
Aluisio Mendes;PSC;MA;aluisio mendes
André Ferreira;PSC;PE;andre ferreira
DaLua do Rota;PSC;AP;dalua do rota
Euclydes Pettersen;PSC;MG;euclydes pettersen
Gilberto Nascimento;PSC;SP;gilberto nascimento
Glaustin da Fokus;PSC;GO;glaustin da fokus
Lauriete;PSC;ES;lauriete
Leonardo Gadelha;PSC;PB;leonardo gadelha
Osires Damaso;PSC;TO;osires damaso
Otoni de Paula;PSC;RJ;otoni de paula
PAULO EDUARDO MARTINS;PSC;PR;paulo eduardo martins
Pedro Dalua;PSC;AP;pedro dalua
Ricardo da Karol;PSC;RJ;ricardo da karol
Alexandre Serfiotis;PSD;RJ;alexandre serfiotis
André de Paula;PSD;PE;andre de paula
Antonio Brito;PSD;BA;antonio brito
Cezinha de Madureira;PSD;SP;cezinha de madureira
Charles Fernandes;PSD;BA;charles fernandes
Danrlei de Deus Hinterholz;PSD;RS;danrlei de deus hinterholz
Darci de Matos;PSD;SC;darci de matos
Delegado Éder Mauro;PSD;PA;delegado eder mauro
Diego Andrade;PSD;MG;diego andrade
